Date,Question,Asked_by,Response,URL,Coding,Location
31 October 2016,"To ask the Secretary of State for Defence, what advice he has received on whether armed Reaper drones on missions outside Syria and Iraq are covered by the convention that Parliament has an opportunity to debate the circumstances in which armed forces are committed to military operations.","Kirsten Oswald, SNP, East Renfrewshire","Whether the Convention applies would depend on the circumstances in which Reaper was to be used. Unmanned aerial systems are subject to the same operational accountability and oversight to that of manned aircraft, including the application of the War Powers Convention.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-24/49992/,War Powers Convention,UK
28 October 2016,"To ask the Secretary of State for Justice, how many meetings (a) Ministers of her Department and (b) officials of HM Prison Service have had with drone manufacturers in each quarter of each of the last five years; and if she will make a statement.","Richard Burden, Labour, Birmingham Northfield","Details of all ministerial meetings with external companies are published on gov.uk. Information on officials’ meetings is not held centrally.We remain vigilant to all incidents involving drones and take the threat they pose to prison security very seriously. We have already introduced new legislation to further strengthen our powers, so that anyone found using a drone in an attempt to get contraband into prisons can be punished with a sentence of up to two years imprisonment. We take a zero tolerance approach to smuggling of contraband into prisons and work closely with the police and Crown Prosecution Service to ensure those caught are prosecuted.A range of methods to counter the threat posed by drones are continuously being trialled and evaluated for their effectiveness across the prison estate.Sam GyimahParliamentary Under-Secretary of State for Justice",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-20/49618/,Civil Use,UK
26 October 2016,"To ask the Secretary of State for Defence, with reference to the oral contribution by the Secretary of State for Defence, of 18 January 2016, Official Report, column 1118 on how many occasions the Government has considered evidence from (a) non-governmental organisations, (b) Airwars, (c) White Helmets and (d) other organisations working in Syria on the collection of data on civilian (i) casualties and (ii) injuries in Syria from 2016 to date; and on how many occasions the Government has considered such evidence as credible.","Brendan O&#039;Hara, SNP, Argyll and Bute","The Ministry of Defence (MOD) has reviewed four batches of information collated by Airwars in relation to possible civilian casualties in Syria and Iraq, where they wished to establish whether RAF aircraft might have been involved. There was no credible evidence that RAF aircraft were responsible in any of these incidents. MOD officials have also met Airwars to outline the process used by the UK to assess the outcome of RAF airstrikes.All RAF airstrikes are subject to an assessment of their outcome. Whilst there can be no guarantees in a complex air campaign like this one, our airstrikes are planned meticulously with the objective of minimising the risk of causing civilian casualties.The MOD continues to be prepared to consider credible evidence on this issue from any source.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-19/49513/,Civilian Casualties,Syria
17 October 2016,"To ask the Secretary of State for Foreign and Commonwealth Affairs, pursuant to the Answer of 4 August 2016 to Question 43327, whether his Department has classified the international armed conflict with Daesh to be with or without territorial restriction.","Kirsten Oswald, SNP, East Renfrewshire",Armed conflict with Daesh is non-international in character and is territorially restricted.Tobias EllwoodParliamentary Under-Secretary of State for Foreign and Commonwealth Affairs,http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-07/46801/,Law,Global
17 October 2016,"To ask the Secretary of State for Defence, what steps his Department is taking to ensure future interoperability of the Boeing Poseidon P-8 platform with the General Atomics MQ9 Reaper platforms.","Douglas Chapman, SNP, Dunfermline and West Fife","The P-8A Poseidon aircraft will form a vital part of the UK&#039;s maritime patrol capability, and interoperability with other platforms and systems is a key user requirement. Work to enable this is under way, however, I am withholding further detail as its disclosure would, or would be likely to prejudice the capability, effectiveness or security of the Armed Forces.Harriett BaldwinParliamentary Under-Secretary of State for Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-10/47717/,Procurement,UK
17 October 2016,"To ask the Secretary of State for Defence, whether any personnel from the UK Reaper squadrons have been deployed to (a) Sigonella air base and (b) Libya; and if he will make a statement.","Kirsten Oswald, SNP, East Renfrewshire","No personnel from UK RAF Reaper Squadrons (Nos. 13 and 39) have been deployed to Sigonella Air Force Base (Sicily), or Libya.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-07/46789/,Military,Libya
17 October 2016,"To ask the Secretary of State for Foreign and Commonwealth Affairs, what discussions he has had with (a) the Prime Minister, (b) the Attorney General and (c) the Secretary of State for Defence on the implications for Government policies of the Joint Declaration for the Export and Subsequent Use of Armed or Strike-Enabled unmanned Aerial Vehicles issued on 5 October 2016.","Catherine West, Labour, Hornsey and Wood Green","The Foreign Secretary has had no direct discussions with the Prime Minister, or Defence Secretary on this US-led initiative. It is longstanding government policy not to comment on consultations with the Attorney General. Both the Foreign Secretary, and the Rt Hon Earl Howe (as Defence Minister with responsibility for this area) agreed that the Joint Declaration by 45 nations on the export and subsequent use of armed or strike-enabled unmanned aerial vehicles was consistent with, a reiteration of, existing UK Government policy.Alan DuncanMinister of State",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-11/48069/,Policy,Global
17 October 2016,"To ask the Secretary of State for Foreign and Commonwealth Affairs, what discussions he has had with his US counterpart on the Proposed Joint Declaration of Principles for the Export and Subsequent Use of Armed or Strike-Enabled Unmanned Aerial Systems.","Kirsten Oswald, SNP, East Renfrewshire","The Foreign Secretary, my Rt Hon. Friend the Member for Uxbridge and South Ruislip (Mr Johnson) has had no direct discussions with his US counterpart on this US-led initiative. He was consulted by Foreign and Commonwealth Office officials, who agreed with their US counterparts the 5 October Joint Declaration for the Export and Subsequent Use of Armed or Strike –Enabled Unmanned Aerial Systems.Alan DuncanMinister of State",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-07/46790/,Policy,Global
13 October 2016,"To ask Her Majesty’s Government what discussions they have had, or agreements they have made, with Amazon and other retailers about the use of drones for deliveries.","Baroness Randerson, Lib Dem",The Civil Aviation Authority have assessed an operational safety case submitted by Amazon and granted permission for the current trials to be undertaken. Discussions have taken place between Government and Amazon around their current trials and future plans for the UK. A non-disclosure agreement has been put in place with Amazon that sets out how confidential information relating to their UK drone delivery trials should be handled. No discussions have been had or agreements put in place with any other retailers about the use of drones for deliveries.Lord Ahmad of WimbledonParliamentary Under-Secretary of State (Department for Transport),http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Lords/2016-10-03/HL2046/,Civil Use,UK
13 October 2016,"To ask the Secretary of State for Defence, pursuant to the Answer of 13 June 2016 to Question 39787, if he will place a copy in the Library of the Joint Doctrine Publication 030.2, Unmanned Aircraft Systems; and if he will make a statement.","Kirsten Oswald, SNP, East Renfrewshire","To ensure defence doctrine reflects UK Government policy, the drafting of Joint Doctrine Publication 0-30.2 &quot;Unmanned Aircraft Systems&quot; is being developed in parallel with the Defence policy review concerning both remotely piloted air and highly automated systems. Officials are currently consulting stakeholders and expect to conclude the review early in 2017 at which point we expect to publish the updated doctrine.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-07/46805/,Policy,UK
12 October 2016,"To ask the Secretary of State for Defence, whether the UK is a party to the Syrian Counter Terror Agreement made by the US and Russia on 9 September 2016; whether the UK plans to provide any assistance or reconnaissance intelligence for actions taken under that agreement; and whether British forces&#039; operations in Iraq and Syria will be affected by that agreement.","Tom Brake, Lib Dem, Carshalton and Wallington","The UK supported US efforts to reach agreement with Russia to reinstate a cessation of hostilities in Syria and will continue to work for the restoration of a credible cessation of Hostilities. The UK was not, however, a party to the US-Russia arrangement which was a purely bilateral one. While the UK would have considered seriously any requests received, we were not asked for either assistance or reconnaissance intelligence for its implementation.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-09-14/46450/,Military,Syria
12 October 2016,"To ask the Secretary of State for Defence, how many civilian casualties have resulted from the 26 brimstone missiles dropped by UK aircraft in Syria in 2016 to date.","Brendan O&#039;Hara, SNP, Argyll and Bute","The Ministry of Defence is not aware of any credible evidence to date of civilian casualties as a result of UK airstrikes over Syria and Iraq.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-09-14/46434/,Civilian Casualties,Syria
12 October 2016,"To ask the Secretary of State for Defence, what progress his Department has made with the government of France on developing the scale and scope of the unmanned combat aerial vehicle programme agreed in January 2014.","Nicholas SoamesConservative, Mid Sussex","The two year £120 million UK/France Unmanned Combat Air System (UCAS) Feasibility Phase commenced in October 2014 and is due to be completed in January 2017. In Amiens in March 2016, we agreed with the French Government to extend the Feasibility Phase through 2017. As well as developing jointly our understanding of the required technologies for future combat air systems, this will further define the scope of the next phase of the UCAS programme which is due to begin in late 2017 and will develop two full-scale UCAS demonstrators by 2025.Harriett BaldwinParliamentary Under-Secretary of State for Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-09-15/46550/,Procurement,UK
12 October 2016,"To ask the Secretary of State for Defence, pursuant to the Answer of 8 September 2016, to Question 44003, whether the battle damage assessment regarding airstrikes in Libya carried out by US forces operating from RAF Lakenheath on 19 February 2016 was shared with the UK.","Kirsten Oswald, SNP, East Renfrewshire","The US has, in confidence, shared the results of that strike with the UK. Clearly it would be inappropriate for us to release that detail or to comment on another State&#039;s operations.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-07/46804/,Military,Libya
12 October 2016,"To ask the Secretary of State for Justice, how many drones have been intercepted operating over prisons in England and Wales (a) in 2015 and (b) from January 2016 to date.","Jo Stevens, Labour, Cardiff Central","There were 33 incidents relating to drones reported by prisons in 2015. This includes finds, interceptions and sightings of drones in and around prisons in England and Wales. The Ministry of Justice intends to routinely publish information on prison drone incidents in the future and 2016 data will be provided in due course as part of the publication schedule.We remain vigilant to all incidents involving drones and take the threat they pose to prison security very seriously. A range of methods to counter the threat posed by drones are being trialled and evaluated for their effectiveness across the prison estate. We have already introduced new legislation to further strengthen our powers, making it illegal to land a drone in prison or to use a drone to drop in contraband. Anyone found using a drone in an attempt to get contraband into prisons can be punished with a sentence of up to two years imprisonment. We take a zero tolerance approach to smuggling of contraband into prisons and work closely with the police and Crown Prosecution Service (CPS) to ensure those caught are prosecuted.Note: All figures have been drawn from live administrative data systems. Care is taken when processing and analysing the returns, but the detail collected is subject to the inaccuracies inherent in any large scale recording system.Sam GyimahParliamentary Under-Secretary of State for Justice",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-10-07/46968/,Civil Use,UK
12 October 2016,"To ask the Secretary of State for Defence, pursuant to the Answer of 11 April 2016 to Question 32492, to which countries RAF Reaper or Watchkeeper drones have been deployed on intelligence, surveillance and reconnaissance sorties since 4 April 2016.","Tom Brake, Lib Dem, Carshalton and Wallington","From 4 April until 20 September 2016, UK Reapers have continued to be deployed on intelligence, surveillance and reconnaissance sorties in Iraq and Syria. Watchkeeper has not been deployed during the period in question.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-09-14/46487/,Military,Global
10 October 2016,"To ask the Secretary of State for Defence, what progress has been made on the Future Combat Air System.","Nicholas SoamesConservative, Mid Sussex","As set out in the 2015 Strategic Defence and Security Review (SDSR), we are working in partnership with the UK defence industry and our closest allies to understand and develop the technologies that will be required for future combat air systems (FCAS). No decisions have yet been made as to what this system will consist of, nor the platforms and capabilities that it will include. We are focussing now on developing the core technologies that any such system will require. To do this we have developed and are implementing the FCAS technology initiative. This programme includes the development of an advanced unmanned combat air system (UCAS) demonstrator in partnership with France, bilateral projects with the United States (US) to mature other key technologies and a national programme to maintain the UK&#039;s position as a global leader in the combat air sector.In Amiens in March 2016 we agreed to transition to the next phase of the UK/France UCAS programme in 2017 and to develop the full-scale demonstrators by 2025. In addition to the current projects we are in discussions with the US and other allies to understand areas of mutual interest for further collaborative work.Harriett BaldwinParliamentary Under-Secretary of State for Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-09-14/46409/,Procurement,UK
5 September 2016,"To ask the Prime Minister, in what circumstances she will restrict the dissemination of written legal advice of the Attorney General to (a) the Cabinet and (b) the Government.","Kirsten Oswald, SNP, East Renfrewshire",The provision of advice from the Attorney General will continue to be handled in accordance with the requirements of the Ministerial Code.Theresa MayPrime Minister,http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-07-20/43531/,Law,UK
5 September 2016,"To ask the Prime Minister, with reference to the Oral Answer by the Prime Minister of 6 July 2016, Official Report, Column 881, what assessment she has made of the level of military action or the deployment of military equipment that would fall within the parameters referred to in that statement.","Kirsten Oswald, SNP, East Renfrewshire",I have nothing further to add.Theresa MayPrime Minister,http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-07-20/43530/,Military,Global
5 September 2016,"To ask the Secretary of State for Defence, how he plans to ensure that the Royal Navy maintains its maritime unmanned air system capability from late 2017.","Kevan JonesLabour, North Durham","The Royal Navy recognises the potential benefits from the use of unmanned vehicles in both air and sea environments and continues to explore how such systems can further augment its capabilities, although no decisions on future systems have yet been taken.",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-07-20/43696/,Navy,UK
4 August 2016,"To ask the Secretary of State for Foreign and Commonwealth Affairs, whether his Department has classified the armed conflict with Daesh as international or non-international.","Kirsten Oswald, SNP, East Renfrewshire","The United Kingdom is engaged in armed conflict against Daesh in Syria and Iraq which we have classified legally as non-international armed conflict, since Daesh is a non-State actor. We are however quite clear, as is the UN Security Council, that Daesh represent a threat to international peace and security.Tobias EllwoodParliamentary Under-Secretary of State for Foreign and Commonwealth Affairs",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-07-19/43327/,Law,Iraq and Syria
25 July 2016,"To ask the Prime Minister, with reference to the 2015-16 Annual Report of the Intelligence and Security Committee, for what reasons it was decided not to provide the Intelligence and Security Committee with evidence on the UK&#039;s role in US air strikes against (a) Junaid Hussain and (b) Mohammed Emwazi.","Kirsten Oswald, SNP, East Renfrewshire",I refer the hon. Member to paragraph 15 of the 2015-16 Annual Report of the Intelligence and Security Committee.Theresa MayPrime Minister,http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-07-19/43349/,Military,Syria
21 July 2016,"To ask the Secretary of State for Defence, how many RAF flights over Libya have taken place each month between January and June 2016; what the purpose was of such flights; and what the type of aircraft used was for those flights.","Tom Brake, Lib Dem, Carshalton and Wallington","Part of our support to the political process in Libya has included the provision of military advisers and RAF flights to transport them. I am withholding information on the details of these flights as disclosure would, or would be likely to prejudice the capability, effectiveness or security of the Armed Forces.Mike PenningMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-07-18/43265/,Military,Libya
19 July 2016,"To ask the Secretary of State for Defence, with reference to paragraphs 5.36 to 5.38 of the Cabinet Manual, whether the convention that a debate in Parliament should be held before troops are committed in military action applies to (a) the lethal use of armed drones, (b) military training and advisory missions (i) related to force-protection and (ii) where there is a risk of UK personnel engaging in combat in self-defence, (c) the use of special forces in long-term combat missions and (d) the embedding of UK military personnel in foreign militaries; and if he will make a statement.","Caroline LucasGreen, Brighton, Pavilion","This Government is committed to the convention that before troops are committed to combat the House of Commons should have an opportunity to debate the matter, except where there was an emergency and such action would not be appropriate. The convention does not apply to British military personnel embedded in the armed forces of other nations.Michael FallonSecretary of State for Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-07-13/42596/,Military,Global
13 July 2016,"To ask the Secretary of State for Defence, what recent discussions he has had with his (a) Ministerial colleagues and (b) US counterparts on cooperation and assistance on counter-drone technology.","Richard Burden, Labour, Birmingham Northfield","I have regular discussions with both Ministerial Colleagues and US counterparts on a range of issues, including counter-drone technologies.Philip DunneMinister of State (Ministry of Defence)",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-07-08/42274/,Civil Use,UK
13 July 2016,"To ask the Secretary of State for Transport, what assessment he has made of the effectiveness of existing regulations on drones; and if he will make a statement.","Richard Burden, Labour, Birmingham Northfield","The Government’s primary responsibility is the safety and security of our citizens. That is why we apply one of the highest regulatory safety standards for commercial aviation in the world.There are existing regulations in place that require users of drones to maintain direct, unaided visual contact with their vehicle and to not recklessly or negligently cause or permit an aircraft to endanger any person or property. Guidance on tackling the risks of criminal drone use has been provided to constabularies across the UK.The Department and the Civil Aviation Authority (CAA) work with a wide range of industry partners across the aviation sector, (including manufacturers, airports, and airlines), to ensure our understanding of potential hazards to aircraft remains up-to-date and mitigations effective. Further work is underway to better understand the risk posed by flying drones close to commercial planes to ensure that regulations remain fit for purpose.Awareness and education on current restrictions are vitally important. The Civil Aviation Authority is undertaking activities to raise awareness of the basic safety requirements, including an ongoing ‘Dronecode’ safety awareness campaign, issuing safety leaflets at the point of sale, publishing an animated video on their website, and running ‘small UAS’ Risk and Hazard workshops with industry as part of the Mid Air Collision Programme.Robert GoodwillParliamentary Under-Secretary (Department for Transport)",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-07-08/42271/,Civil Use,UK
28 June 2016,"To ask Her Majesty’s Government when they expect the Watchkeeper Programme to achieve Initial Operating Capability 2, previously expected to be achieved by April, and when they now expect Equipment Support Systems to be released to service.",Lord MoonieLabour,"It is expected that the Watchkeeper programme will declare Initial Operating Capability 2 standard by July 2016. An initial set of release to service recommendations for the Watchkeeper system at Equipment Standard 2 should be provided by March 2017. This will provide sufficient clearance for the Army to fly the Watchkeeper system in that configuration and support delivery of Full Operating Capability by the target date of April 2017.Earl HoweMinister of State, Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Lords/2016-06-15/HL728/,Military,Global
27 June 2016,"With respect, it is evident that the Government intend to use lethal force outside armed conflict for counter-terrorism purposes, despite the legal basis for that being unclear. Will the Government clarify the legal basis on the use of drones for targeted killing outside of armed conflict?","Andrew Slaughter, Labour, Hammersmith","We have been very clear that this is guided by international law. Where there is an identified, direct and immediate threat to the United Kingdom, and where we have no other means of dealing with it, we reserve the right to use force.Penny MordauntMinister of State (Ministry of Defence)",https://www.theyworkforyou.com/debates/?id=2016-06-27b.15.6&#038;s=%22international+law%22#g15.10,Policy,Global
27 June 2016,Whether the Government plan to publish a policy on the use of drones for targeted killing,"Andrew Slaughter, Labour, Hammersmith","With regard to targeting or other rules of engagement, the use of remotely piloted air systems is no different to that of any other aircraft. Therefore, there is no separate policy for their use in this respect.Penny MordauntMinister of State (Ministry of Defence)",https://www.theyworkforyou.com/debates/?id=2016-06-27b.15.6&#038;s=%22international+law%22#g15.10,Policy,Global
16 June 2016,"To ask the Secretary of State for Defence, whether his Department has met representatives of AeroVironment to discuss the Blackwing miniature tube-launched drone.","Kirsten Oswald, SNP, East Renfrewshire","Representatives of the Department meet AeroVironment representatives on a regular basis to discuss current and potential future capabilities, and the Department is aware of the capabilities of the Blackwing Reconnaissance System. However, the Department has no capability requirement to procure an underwater launched Unmanned Aerial System at this stage, and, as such, there have not been any formal discussions with AeroVironment on a possible procurement of Blackwing.Philip DunneMinister of State (Ministry of Defence)",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-06-08/39912/,Procurement,UK
15 June 2016,"To ask the Secretary of State for Transport, with reference to the Answer of 12 April 2016 to Question 32352, whether the memorandum of understanding between the Home Office, the Civil Aviation Authority and the police has been agreed.","Richard Burden, Labour, Birmingham Northfield","I can confirm that the memorandum of understanding between the Department for Transport, the Home Office, the Civil Aviation Authority and the police has been signed and is operational.Robert GoodwillParliamentary Under-Secretary (Department for Transport)",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-06-08/40016/,Civil Use,UK
15 June 2016,"To ask the Secretary of State for Transport, what steps his Department is taking to engage with the European Aviation Safety Authority task force assessing the risk of collision between drones and aircraft.","Richard Burden, Labour, Birmingham Northfield","The Department for Transport and the Civil Aviation Authority have regular interaction with the European Aviation Safety Authority (EASA) on the development of drone safety regulations. This includes engagement on the EASA task force studying the risk of collision between drones and aircrafts, which we expect will be consulting more formally across Member States this summer.Robert GoodwillParliamentary Under-Secretary (Department for Transport)",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-06-08/39997/,Civil Use,UK
15 June 2016,"To ask the Secretary of State for Transport, with reference to the Answer of 26 April 2016 to Question 34503, if he will release a summary or redacted version of risk assessments carried out by the Cross-Government Working Group on RPAS.","Richard Burden, Labour, Birmingham Northfield","The Cross-Government Working Group on RPAS commissioned a piece of work, led by the Ministry of Defence, to analyse the potential use of drones for criminal purposes including the potential use of drones for terrorist purposes. This work is ongoing and being kept under review. I will place a redacted summary of the work to date in the Libraries of both Houses before the Summer Recess.Robert GoodwillParliamentary Under-Secretary (Department for Transport)",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-06-08/40015/,Civil Use,UK
13 June 2016,"To ask the Secretary of State for Defence, what timeline has been proposed for publication of the revised Joint Doctrinal Note on UK Unmanned Systems.","David DavisConservative, Haltemprice and Howden","Joint Doctrine Publication (JDP) 0-30.2, Unmanned Aircraft Systems, (which will replace Joint Doctrine Note 2/11, The UK Approach to Unmanned Aircraft Systems) was endorsed by the Ministry of Defence (MOD) Joint Doctrine and Concepts Board in November 2015 with an agreed timeline for the MOD Development, Concepts and Doctrine Centre to produce it in mid-2016. On current plans JDP 0-30.2 is expected to be published in July 2016.Penny MordauntMinister of State (Ministry of Defence",http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-06-07/39787/,Policy,UK
13 June 2016,"To ask the Secretary of State for Defence, with reference to the oral contribution of the Minister of State, House of Lords Official Report, 27 April 2016, Column 1229, how many independent service police investigations have been carried out on allegations of civilian casualties during operations against Daesh in Iraq and Syria in the last five years.","David DavisConservative, Haltemprice and Howden",NonePenny MordauntMinister of State (Ministry of Defence),http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2016-06-08/39927/,Civilian Casualties,Iraq and Syria
